case:concept:name,concept:name,Resource,time:timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 24,Assign seriousness,Value 2,2010/04/27 09:49:56.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,Take in charge ticket,Value 2,2010/06/08 11:06:56.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,Resolve ticket,Value 2,2010/06/08 14:46:16.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 75,Assign seriousness,Value 2,2010/03/11 15:15:54.000,Variant 4,4,Variant 4,Value 1,Value 22,Value 3,Value 3,Value 1,Value 2,Value 1,Value 3,Value 1
Case 75,Assign seriousness,Value 2,2010/04/23 07:44:51.000,Variant 4,4,Variant 4,Value 1,Value 22,Value 3,Value 3,Value 1,Value 2,Value 1,Value 3,Value 1
Case 75,Take in charge ticket,Value 2,2010/04/23 07:44:59.000,Variant 4,4,Variant 4,Value 1,Value 22,Value 3,Value 3,Value 1,Value 2,Value 1,Value 3,Value 1
Case 75,Resolve ticket,Value 2,2010/04/23 07:45:04.000,Variant 4,4,Variant 4,Value 1,Value 22,Value 3,Value 3,Value 1,Value 2,Value 1,Value 3,Value 1
Case 81,Assign seriousness,Value 16,2010/02/09 08:31:47.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 81,Take in charge ticket,Value 16,2010/02/09 08:35:12.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 81,Wait,Value 16,2010/02/09 08:35:26.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 81,Wait,Value 2,2010/02/09 08:36:27.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 81,Take in charge ticket,Value 11,2010/02/19 08:31:40.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 81,Resolve ticket,Value 11,2010/02/19 08:32:00.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 90,Assign seriousness,Value 2,2010/03/16 07:59:03.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 3,Value 4,Value 2,Value 3,Value 2,Value 3,Value 2
Case 90,Take in charge ticket,Value 12,2010/03/17 09:02:03.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 3,Value 4,Value 2,Value 3,Value 2,Value 3,Value 2
Case 90,Resolve ticket,Value 12,2010/03/17 09:49:51.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 3,Value 4,Value 2,Value 3,Value 2,Value 3,Value 2
Case 92,Assign seriousness,Value 2,2010/03/09 10:09:33.000,Variant 1,1,Variant 1,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 92,Take in charge ticket,Value 2,2010/03/09 10:09:44.000,Variant 1,1,Variant 1,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 92,Resolve ticket,Value 2,2010/03/18 09:27:56.000,Variant 1,1,Variant 1,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 101,Insert ticket,Value 15,2010/06/18 13:47:15.000,Variant 7,7,Variant 7,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,Assign seriousness,Value 15,2010/06/18 14:18:15.000,Variant 7,7,Variant 7,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,Take in charge ticket,Value 2,2010/06/29 07:35:47.000,Variant 7,7,Variant 7,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,Resolve ticket,Value 2,2010/06/29 08:33:07.000,Variant 7,7,Variant 7,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 103,Assign seriousness,Value 2,2010/06/07 07:30:54.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 103,Assign seriousness,Value 2,2010/06/07 07:49:10.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 103,Take in charge ticket,Value 15,2010/06/07 15:16:44.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 103,Wait,Value 15,2010/06/08 10:37:29.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 103,Take in charge ticket,Value 15,2010/06/09 07:18:05.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 103,Create SW anomaly,Value 15,2010/06/09 07:18:28.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 103,Resolve ticket,Value 15,2010/06/16 09:23:07.000,Variant 96,96,Variant 96,Value 1,Value 63,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 111,Assign seriousness,Value 9,2010/06/29 14:00:48.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 111,Take in charge ticket,Value 9,2010/06/29 15:16:26.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 111,Resolve ticket,Value 9,2010/06/30 08:05:04.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 111,Take in charge ticket,Value 9,2010/06/30 14:19:00.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 111,Wait,Value 9,2010/07/01 09:00:03.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 111,Take in charge ticket,Value 9,2010/07/02 14:07:18.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 111,Resolve ticket,Value 9,2010/07/02 14:08:52.000,Variant 20,20,Variant 20,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 113,Insert ticket,Value 12,2010/05/06 15:51:48.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
Case 113,Assign seriousness,Value 6,2010/05/24 10:23:15.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 113,Take in charge ticket,Value 12,2010/05/25 13:48:24.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 113,Resolve ticket,Value 12,2010/05/25 14:11:28.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 127,Assign seriousness,Value 2,2010/03/12 09:28:49.000,Variant 1,1,Variant 1,Value 1,Value 78,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 1
Case 127,Take in charge ticket,Value 2,2010/03/12 09:29:00.000,Variant 1,1,Variant 1,Value 1,Value 78,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 1
Case 127,Resolve ticket,Value 2,2010/03/12 09:37:27.000,Variant 1,1,Variant 1,Value 1,Value 78,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 1
Case 130,Insert ticket,Value 11,2010/04/08 08:58:03.000,Variant 97,97,Variant 97,Value 1,Value 9,Value 3,Value 2,Value 1,Value 2,Value 2,Value 3,Value 1
Case 130,Assign seriousness,Value 11,2010/04/08 09:01:05.000,Variant 97,97,Variant 97,Value 1,Value 9,Value 3,Value 2,Value 1,Value 2,Value 2,Value 3,Value 1
Case 130,Take in charge ticket,Value 11,2010/04/08 09:01:11.000,Variant 97,97,Variant 97,Value 1,Value 9,Value 3,Value 2,Value 1,Value 2,Value 2,Value 3,Value 1
Case 130,Resolve ticket,Value 11,2010/04/08 09:01:19.000,Variant 97,97,Variant 97,Value 1,Value 9,Value 3,Value 2,Value 1,Value 2,Value 2,Value 3,Value 1
Case 139,Assign seriousness,Value 6,2010/04/19 07:44:31.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1
Case 139,Take in charge ticket,Value 2,2010/04/19 09:15:20.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1
Case 139,Resolve ticket,Value 2,2010/04/19 09:26:05.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1
Case 151,Assign seriousness,Value 2,2010/02/10 10:25:33.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 151,Take in charge ticket,Value 2,2010/02/10 10:33:38.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 151,Resolve ticket,Value 2,2010/02/10 10:33:49.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 166,Assign seriousness,Value 2,2010/02/11 08:48:50.000,Variant 1,1,Variant 1,Value 1,Value 95,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3
Case 166,Take in charge ticket,Value 2,2010/02/23 16:56:28.000,Variant 1,1,Variant 1,Value 1,Value 95,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3
Case 166,Resolve ticket,Value 2,2010/02/23 16:56:36.000,Variant 1,1,Variant 1,Value 1,Value 95,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3
Case 182,Assign seriousness,Value 6,2010/05/20 08:31:32.000,Variant 1,1,Variant 1,Value 1,Value 68,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 182,Take in charge ticket,Value 2,2010/05/24 10:55:17.000,Variant 1,1,Variant 1,Value 1,Value 68,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 182,Resolve ticket,Value 2,2010/05/24 10:59:57.000,Variant 1,1,Variant 1,Value 1,Value 68,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 183,Insert ticket,Value 15,2010/05/19 15:08:49.000,Variant 7,7,Variant 7,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 183,Assign seriousness,Value 15,2010/05/20 07:53:47.000,Variant 7,7,Variant 7,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 183,Take in charge ticket,Value 15,2010/05/24 07:15:57.000,Variant 7,7,Variant 7,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 183,Resolve ticket,Value 15,2010/05/24 07:18:09.000,Variant 7,7,Variant 7,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 189,Assign seriousness,Value 2,2010/02/02 13:49:13.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Assign seriousness,Value 2,2010/02/02 14:04:15.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Take in charge ticket,Value 2,2010/02/03 14:27:07.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Resolve ticket,Value 2,2010/02/03 14:27:16.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 203,Assign seriousness,Value 15,2010/06/11 10:18:02.000,Variant 1,1,Variant 1,Value 1,Value 107,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 203,Take in charge ticket,Value 15,2010/06/11 12:22:40.000,Variant 1,1,Variant 1,Value 1,Value 107,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 203,Resolve ticket,Value 15,2010/06/16 08:04:16.000,Variant 1,1,Variant 1,Value 1,Value 107,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 215,Assign seriousness,Value 2,2010/04/15 07:13:46.000,Variant 1,1,Variant 1,Value 1,Value 40,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 215,Take in charge ticket,Value 2,2010/04/27 14:30:12.000,Variant 1,1,Variant 1,Value 1,Value 40,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 215,Resolve ticket,Value 2,2010/04/27 14:30:18.000,Variant 1,1,Variant 1,Value 1,Value 40,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 216,Assign seriousness,Value 2,2010/03/24 11:14:07.000,Variant 4,4,Variant 4,Value 1,Value 62,Value 3,Value 6,Value 1,Value 1,Value 1,Value 5,Value 3
Case 216,Assign seriousness,Value 2,2010/03/24 11:14:29.000,Variant 4,4,Variant 4,Value 1,Value 62,Value 3,Value 6,Value 1,Value 1,Value 1,Value 5,Value 3
Case 216,Take in charge ticket,Value 2,2010/03/24 11:14:37.000,Variant 4,4,Variant 4,Value 1,Value 62,Value 3,Value 6,Value 1,Value 1,Value 1,Value 5,Value 3
Case 216,Resolve ticket,Value 2,2010/03/24 11:14:41.000,Variant 4,4,Variant 4,Value 1,Value 62,Value 3,Value 6,Value 1,Value 1,Value 1,Value 5,Value 3
Case 234,Assign seriousness,Value 2,2010/06/23 15:57:59.000,Variant 4,4,Variant 4,Value 1,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 234,Assign seriousness,Value 2,2010/06/28 12:12:55.000,Variant 4,4,Variant 4,Value 1,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 234,Take in charge ticket,Value 2,2010/07/07 10:10:15.000,Variant 4,4,Variant 4,Value 1,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 234,Resolve ticket,Value 2,2010/07/07 10:10:30.000,Variant 4,4,Variant 4,Value 1,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 238,Assign seriousness,Value 14,2010/07/23 14:27:40.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 238,Take in charge ticket,Value 2,2010/07/27 07:36:36.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 238,Resolve ticket,Value 2,2010/07/27 07:37:32.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 245,Assign seriousness,Value 2,2010/04/28 15:21:11.000,Variant 1,1,Variant 1,Value 1,Value 81,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 245,Take in charge ticket,Value 2,2010/04/29 10:15:16.000,Variant 1,1,Variant 1,Value 1,Value 81,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 245,Resolve ticket,Value 2,2010/05/03 12:56:35.000,Variant 1,1,Variant 1,Value 1,Value 81,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 259,Assign seriousness,Value 2,2010/03/23 08:10:15.000,Variant 4,4,Variant 4,Value 1,Value 128,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 259,Assign seriousness,Value 10,2010/03/24 08:39:07.000,Variant 4,4,Variant 4,Value 1,Value 128,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 259,Take in charge ticket,Value 10,2010/03/24 08:39:20.000,Variant 4,4,Variant 4,Value 1,Value 128,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 259,Resolve ticket,Value 10,2010/05/06 07:36:35.000,Variant 4,4,Variant 4,Value 1,Value 128,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 268,Insert ticket,Value 15,2010/07/23 08:22:58.000,Variant 7,7,Variant 7,Value 1,Value 97,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 268,Assign seriousness,Value 15,2010/07/23 08:23:24.000,Variant 7,7,Variant 7,Value 1,Value 97,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 268,Take in charge ticket,Value 15,2010/07/23 08:29:53.000,Variant 7,7,Variant 7,Value 1,Value 97,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 268,Resolve ticket,Value 15,2010/07/23 09:53:25.000,Variant 7,7,Variant 7,Value 1,Value 97,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 271,Insert ticket,Value 11,2010/03/08 11:43:25.000,Variant 31,31,Variant 31,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 271,Assign seriousness,Value 11,2010/03/08 11:44:57.000,Variant 31,31,Variant 31,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 271,Assign seriousness,Value 11,2010/03/08 11:45:49.000,Variant 31,31,Variant 31,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 271,Take in charge ticket,Value 11,2010/03/08 11:52:48.000,Variant 31,31,Variant 31,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 271,Resolve ticket,Value 11,2010/03/08 17:00:50.000,Variant 31,31,Variant 31,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 273,Assign seriousness,Value 16,2010/03/25 15:16:03.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 273,Take in charge ticket,Value 16,2010/03/25 15:32:12.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 273,Resolve ticket,Value 16,2010/03/25 17:10:30.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 275,Assign seriousness,Value 15,2010/06/08 12:44:14.000,Variant 1,1,Variant 1,Value 1,Value 58,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 275,Take in charge ticket,Value 6,2010/06/28 14:02:44.000,Variant 1,1,Variant 1,Value 1,Value 58,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 275,Resolve ticket,Value 6,2010/06/28 14:07:25.000,Variant 1,1,Variant 1,Value 1,Value 58,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 276,Insert ticket,Value 11,2010/03/30 15:58:20.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 4,Value 2,Value 2,Value 2,Value 3,Value 1
Case 276,Assign seriousness,Value 11,2010/03/30 15:58:35.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 4,Value 2,Value 2,Value 2,Value 3,Value 1
Case 276,Take in charge ticket,Value 11,2010/03/30 15:59:10.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 4,Value 2,Value 2,Value 2,Value 3,Value 1
Case 276,Resolve ticket,Value 11,2010/03/30 16:13:29.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 4,Value 2,Value 2,Value 2,Value 3,Value 1
Case 278,Assign seriousness,Value 2,2010/05/24 12:55:50.000,Variant 34,34,Variant 34,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 278,Wait,Value 12,2010/05/25 15:38:49.000,Variant 34,34,Variant 34,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 278,Take in charge ticket,Value 2,2010/06/16 08:46:50.000,Variant 34,34,Variant 34,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 278,Wait,Value 2,2010/06/16 08:47:04.000,Variant 34,34,Variant 34,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 278,Take in charge ticket,Value 16,2010/06/21 15:04:47.000,Variant 34,34,Variant 34,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 278,Resolve ticket,Value 6,2010/06/22 12:27:44.000,Variant 34,34,Variant 34,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 294,Assign seriousness,Value 6,2010/05/14 12:55:15.000,Variant 1,1,Variant 1,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 294,Take in charge ticket,Value 6,2010/05/14 13:02:16.000,Variant 1,1,Variant 1,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 294,Resolve ticket,Value 6,2010/05/14 13:24:16.000,Variant 1,1,Variant 1,Value 1,Value 98,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 297,Assign seriousness,Value 19,2010/07/15 10:44:37.000,Variant 1,1,Variant 1,Value 1,Value 135,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 297,Take in charge ticket,Value 2,2010/07/15 12:54:40.000,Variant 1,1,Variant 1,Value 1,Value 135,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 297,Resolve ticket,Value 2,2010/07/15 13:10:18.000,Variant 1,1,Variant 1,Value 1,Value 135,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 301,Assign seriousness,Value 6,2010/05/06 11:05:09.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 301,Take in charge ticket,Value 6,2010/05/06 13:01:24.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 301,Resolve ticket,Value 6,2010/05/06 13:27:07.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 301,Take in charge ticket,Value 12,2010/05/06 14:36:41.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 301,Wait,Value 12,2010/05/06 16:06:08.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 301,Take in charge ticket,Value 12,2010/05/07 12:17:30.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 301,Resolve ticket,Value 12,2010/05/07 12:17:43.000,Variant 20,20,Variant 20,Value 1,Value 137,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 321,Assign seriousness,Value 19,2010/07/01 09:53:02.000,Variant 13,13,Variant 13,Value 1,Value 8,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 321,Assign seriousness,Value 2,2010/07/01 12:33:00.000,Variant 13,13,Variant 13,Value 1,Value 8,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 321,Take in charge ticket,Value 6,2010/07/01 16:43:16.000,Variant 13,13,Variant 13,Value 1,Value 8,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 321,Wait,Value 6,2010/07/01 16:55:02.000,Variant 13,13,Variant 13,Value 1,Value 8,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 321,Take in charge ticket,Value 16,2010/07/02 12:15:07.000,Variant 13,13,Variant 13,Value 1,Value 8,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 321,Resolve ticket,Value 16,2010/07/02 12:39:50.000,Variant 13,13,Variant 13,Value 1,Value 8,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 327,Assign seriousness,Value 2,2010/04/12 09:39:32.000,Variant 1,1,Variant 1,Value 1,Value 145,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 327,Take in charge ticket,Value 2,2010/04/29 14:33:17.000,Variant 1,1,Variant 1,Value 1,Value 145,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 327,Resolve ticket,Value 2,2010/04/29 14:33:23.000,Variant 1,1,Variant 1,Value 1,Value 145,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 3
Case 342,Assign seriousness,Value 2,2010/04/19 10:48:19.000,Variant 69,69,Variant 69,Value 1,Value 148,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
